id;street_address;unit;city;state_id;zip_code;user_id;created_by;last_modified_by
27182;61895 Greenfelder Plain;;Bednarbury;10;09519-6170;5;system;system
40269;2235 Daija Well;;Port Imogene;5;48475-5505;6;system;system
3324;291 Spinka Knolls;;Rowehaven;10;06364;7;system;system
33166;278 Will Extensions;;North Romamouth;8;84725;8;system;system
29350;07129 Ulises Square;;North Nora;4;43374-8967;9;system;system
28512;19164 Nyah Coves;;East Tressa;8;27380;10;system;system
8839;4247 Shaniya Cliff;;North Annie;10;91638;11;system;system
31849;92334 Cordell Park;;East Garrettville;4;89448;12;system;system
41301;3225 Augustus Bypass;;North Terrellhaven;1;43840;13;system;system
19339;50057 Antwon Springs;;Lake Jettieburgh;4;13593;14;system;system
44105;562 Powlowski Greens;;New Grant;8;68296-6057;15;system;system
30975;4758 Anjali Plains;;Port Rollinland;8;81323;16;system;system
20631;045 Pedro Gardens;;Lake Rhoda;3;21673;17;system;system
26326;0884 Alek Mountains;;Port Merlin;4;35023;18;system;system
39995;3426 Rowan Street;;Kuvalisburgh;4;01068-9700;19;system;system
16549;8944 Reichel Roads;;Lake Cheyennefurt;5;29103-1880;20;system;system
20678;673 Kameron Camp;;East Ron;4;46139;21;system;system
42309;68503 Isaias Corner;;West Fabiolaton;8;20052-3865;22;system;system
36362;91180 London River;;East Audreanneberg;1;83739-7924;23;system;system
38911;72712 Botsford Plaza;;East Celestinomouth;6;70720-8162;24;system;system
2585;31478 Langosh Island;;North Devinland;2;48616;25;system;system
77;692 Leonardo Courts;;Lake Audra;6;28301-2328;26;system;system
938;90219 Murray Ramp;;Grahamville;10;34625-9823;27;system;system
31962;226 Marcelino Estate;;Port Jadonland;10;52936-8652;28;system;system
30079;36274 Renner Circle;;Schultztown;9;83881-6608;29;system;system
33302;034 Raynor Heights;;Charleyfurt;10;02205;30;system;system
38141;630 Waters Circles;;Padbergchester;3;65967;31;system;system
23789;9234 Melisa Brooks;;Ritchieland;10;23288;32;system;system
44329;808 Bins Falls;;Zacherymouth;1;48518;33;system;system
